id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000619,Marble seated harp player,"Seated male figure with a highly stylized face playing a harp.  Carved in the round, not in relief.",CC 1.0 Universal Public Domain,Unknown,Seated male figure with a highly stylized face playing a harp,"Ancient Greek, Cycladic",BCE 2800-2700 ,"Metropolitan Museum of Art, New York, USA",Cycladic Islands/Greece,CC 1.0 Universal Public Domain,"3rd Millennium BCE, Late Early Cycladic I–Early Cycladic II",musician,Sculpture
000620,"Marshall Islands Stick Chart, Mattang type","A woven grid of pale sticks (five verticals, five horizontals) is threaded through by sticks running diagonally across it. Seashells (representing islands) are fastened to some of the junctures.","Public Domain, Library of Congress, Geography and Map Division.",Unknown,Strands of straw and shells are woven into a square with a grid in it.,"Oceanian, Marshall Islands, Polynesian",CE 1920,"Majuro, Marshall Islands","Majuro, Marshall Islands, Oceana","Public Domain, Library of Congress, Geography and Map Division.",20th Century CE,Polynesian,Maps
000621,Martin: Portrait of Dido Elizabeth Belle and Lady Elizabeth Murray,"Two well-dressed women in a rural setting outdoors, one seated and one standing.",Public Domain,David Martin,Two women in a rural setting,"Northern and Western European, British, Neoclassicism",CE 1778,"Scone Palace, Perthshire, Scotland","Hampstead, England",Public Domain,"18th Century CE, Neoclassicism",portrait,Painting
000622,Masaccio: Expulsion of Adam and Eve,"This fresco shows two agonized figures walking away from some mountains behind them, while hovering above them a red-robed angel threatens with a sword.","CC BY-SA 4.0, Masaccio",Masaccio,Fresco showing the expulsion of Adam and Eve from the Garden of Eden; an angel with a flaming sword hovers above them.,"Southern European, Italian, Italian Renaissance",CE 1426-1427,"Santa Maria del Carmine, Florence, Italy","Florence, Italy","CC BY-SA 4.0, Masaccio","15th Century CE, Italian Renaissance","Adam, Eve",Painting
000623,Masaccio: Holy Trinity,"This fresco shows the crucified Jesus between the Virgin Mary, St John, and donors, in an illusionistic barrel-vaulted corridor. Behind Jesus rises God the Father; the Holy Spirit, as a dove, floats over his head. At the base of the fresco is an illusionistic memento mori tomb.",Public Domain,Masaccio,"Fresco showing the crucified Jesus between the Virgin Mary, St John, and donors; at the base of the fresco is an illusionistic tomb.","Southern European, Italian, Italian Renaissance",CE 1426-1428,"Santa Maria Novella, Florence, Italy","Florence, Italy",Public Domain,"15th Century CE, Italian Renaissance",Crucifixion,Painting
000624,Masaccio: The Tribute Money,This fresco shows an incident in the life of Jesus involving the miraculous payment of a tax.,Public Domain,Masaccio,Fresco showing an incident in the life of Jesus involving the miraculous payment of a tax.,"Southern European, Italian, Italian Renaissance",CE 1424-1428,"Santa Maria del Carmine, Florence, Italy","Florence, Italy",Public Domain,"15th Century CE, Italian Renaissance","Jesus, St Peter",Painting
000625,Matisse: Red Room,"This oil-on-canvas painting shows a woman dressed in black and white standing at a table holding a bowl of fruit.  The tablecloth and the wallpaper of the room are the same deep shade of red, and the same vine-and-floral design appears on each.  Two decanters of wine and a centerpiece with flowers are on the table, with fruit scattered across it,  A window on the wall behind the table shows the greens of the field outside with a building in the distance.",ArtStor: Department of Art History Digital Collections,Henri Émile Benoît Matisse,A woman is setting the table in an all red room.,"Northern and Western European, French, Post-Impressionism, Fauvism, Modernism",CE 1908,"Hermitage Museum, Saint Petersburg, Russia",France,ArtStor: Department of Art History Digital Collections,"20th Century CE, Post-Impressionism, Fauvism, Modernism",Fauvism,Painting
000626,Matisse: The Joy of Life,"Oil paint applied to a large canvas shows a meadow surrounded by trees, water and sky in the background.  More than a dozen nude figures occupy the meadow:  playing music, dancing, and embracing.  Burnt orange, red, mauve, and olive green are colors used to represent the canopy of trees; yellow is the ground for the fields, and the bodies are colored pale pinks, greens and beiges.  The two female bodies in the center, nearly white, reclining, are outlined in red and green.",Public Domain,Henri Émile Benoît Matisse,"Nude figures in a field surrounded by trees participate play music, recline, and embrace.","Northern and Western European, French, Post-Impressionism, Fauvism, Modernism",CE 1905,"Barnes Foundation, Philadelphia, Pennsylvania, USA","Paris, France",Public Domain,"20th Century CE, Post-Impressionism, Fauvism, Modernism",nude,Painting
000627,"Matsya, the First Incarnation of Vishnu",This stone relief of the god Vishnu's first incarnation as a gigantic fish is set against eight registers of repeated human and animal figures. The fish carries on its back a shrine dais with a tree growing out of it. ,"CC BY-NC-SA 4.0 © Trustees of the British Museum,",Unknown,Stone relief of the god Vishnu's first incarnation as a gigantic fish that carries on its back a shrine dais with a tree growing out of it.,"South Asian, Indian, Indian Hindu",CE 850-950,"British Museum, London, UK",India,"CC BY-NC-SA 4.0 © Trustees of the British Museum,",9-10th Century CE,"Vishnu, fish",Sculpture
000628,Medallion Ushak Carpet ,"A rectangular carpet shows a large mandala with a red ground, woven with blue, green, and red arabesque vine and flower shapes. Surrounding the red mandala are gold floral shapes on a blue ground. At the four corners are paisley-shaped geometric outlines in gold on a light blue ground. ",CC BY 3.0 © 2004–2015 the Brooklyn Museum ,Unknown,A brightly colored Turkish rug,"Middle Eastern, Turkish, Muslim",CE 1500,"Brooklyn Museum, Brooklyn, NY, USA","Ushak, Anatolia, Turkey ",CC BY 3.0 © 2004–2015 the Brooklyn Museum ,"16th Century CE, Ottoman",allover pattern,"Textile, Carpet"
000629,"Megaron (reconstruction), Palace of Nestor, Pylos","This drawing shows the Palace of Nestor as it would have been decorated when it is described in Homer’s Iliad and Odyssey. It shows an interior courtyard, with a balcony overlooking. The columns and walls are decorated with painted geometric shapes. The illustrator has added people mingling under and upon the balconies. No roof covers this courtyard, with a blue illustrated sky above.","ArtStor University of California, San Diego",Unknown,drawing of reconstruction of Palace of Nestor,"Ancient Greek, Mycenaean",BCE 1300 ,"Pylos-Nestoras, Peloponnese, Greece","Pylos, Greece","ArtStor University of California, San Diego",2nd Millennial BCE,Mycenaean,Architecture
000630,Memling: Portinari Marriage Portrait,"Two portraits in separate panels appear side by side, with a man dressed in black on the left, and a woman wearing necklace and a black hat with a veil on the right. Both show praying hands wearing a ring. ",CC 1.0 Universal Public Domain,Hans Memling,Two portraits in separate panels of a man and a woman,"Northern and Western European, Netherlandish, Northern Renaissance",CE 1470-1480,"The Metropolitan Museum of Art, New York, NY, USA",Netherlands,CC 1.0 Universal Public Domain,"15th Century CE, Northern Renaissance",portriat,Painting
000631,Memling: Portrait of a Young Man,"A young man poses, hands folded, in front of an open window, through which the viewer can see a country vista.",CC 1.0 Universal Public Domain,Hans Memling,"A painting of a young man, hands folded.","Northern and Western European, Netherlandish, Northern Renaissance",CE 1472-1475,"The Metropolitan Museum of Art, New York, NY, USA",Netherlands,CC 1.0 Universal Public Domain,"15th Century CE, Northern Renaissance",portriat,Painting
000632,Menerptah Stele,"A rubbing made from a rectangular slab with 28 lines of Egyptian hieroglyphics; at the rounded top are seen two groups of three figures each, in which one figure hands a crooked sword to another.",CC BY-SA 3.0 Webscribe,Unknown,A rubbing made from a rectangular slab with 28 lines of Egyptian hieroglyphics; at the rounded top are groups of figures and a sword.,"Ancient Egyptian, New Kingdom",BCE 1208 ,Cairo Museum,Egypt,CC BY-SA 3.0 Webscribe,"2nd Millennium BCE, Iron Age",Merneptah,Sculpture
000633,Michelangelo: Ceiling of the Sistine Chapel,This image is a view of an intricately painted ceiling and wall of Catholic scenes.,CC BY-SA 3.0 Antoine Taveneaux,Michelangelo di Lodovico Buonarroti Simoni,An intricately painted ceiling.,"Southern European, Italian, Italian Renaissance",CE 1508-1512,"Sistine Chapel, Vatican City","Sistine Chapel, Vatican City",CC BY-SA 3.0 Antoine Taveneaux,"16th Century CE, Italian Renaissance",Christianity,Painting
000634,Michelangelo: David,"A young man stands, naked, looking to the left. Over his left shoulder he holds a slingshot, ready for combat.",CC BY-SA 3.0,Michelangelo di Lodovico Buonarroti Simoni,"A young man stands, naked, looking to the left. Over his left shoulder he holds a slingshot, ready for combat.","Southern European, Italian, Italian Renaissance",CE 1501-1504,"Galleria dell'Accademia, Florence, Italy","Florence, Italy",CC BY-SA 3.0,"16th Century CE, Italian Renaissance",David,Sculpture
000635,Michelangelo: Dying Slave,"A marble statue of a naked man, eyes closed, one arm resting on the center of the chest and the other lifted behind the head. 
",CC 3.0,Michelangelo di Lodovico Buonarroti Simoni,A marble statue of a dying young man.,"Southern European, Italian, Italian Renaissance",CE 1513-1516,"Louvre Museum, Paris, France","Rome, Italy",CC 3.0,"16th Century CE, Italian Renaissance",nude,Sculpture
000636,Michelangelo: Pietà,"Carved in white marble, a young woman holds a dead young man on her lap. She looks down in sorrow.",Public Domain,Michelangelo di Lodovico Buonarroti Simoni,"Carved in marble, the Virgin Mary holds the dead body of Jesus on her lap ","Southern European, Italian, Italian Renaissance",CE 1498-1499,"St. Peter's Basilica, Vatican City",Vatican City,Public Domain,"15th Century CE, Italian Renaissance","St Mary, Jesus",Sculpture
000637,Michelangelo: The Last Judgement,"Jesus Christ, in the center, judges the dead, sending them to either Heaven or Hell.",Public Domain,Michelangelo di Lodovico Buonarroti Simoni,"Michelangelo’s famous painting in the Sistine Chapel depicting Christ’s judgement of the dead. 
","Southern European, Italian, Italian Renaissance",CE 1535-1541,"Sistine Chapel, Vatican City","Sistine Chapel, Vatican City",Public Domain,"16th Century CE, Italian Renaissance",biblical story,Painting
000638,Millais: Christ in the House of His Parents,"The young Jesus holds up his palm, which is bleeding from an injury; Mary comforts him while other family members continue work.  The young John the Baptist stands to the right, holding a pan of water, while a herd of sheep can be seen through the shop's open door, crowding forward against a fence.",Creative Commons CC-BY-NC-ND (3.0 Unported) in UK; Public Domain in US,John Everett Millais,The young Jesus in the carpenter's shop of Joseph and Mary,"Northern and Western European, British, Pre-Raphaelite",CE 1849-50,"Tate Britain, London, UK","London, England",Creative Commons CC-BY-NC-ND (3.0 Unported) in UK; Public Domain in US,"19th Century CE, Pre-Raphaelite",Christianity,Painting
000639,Millais: Mariana,"A woman in a plush gown of blue velvet stretches in front of a window with stained glass religious scenes; outside, it is autumn, and fallen leaves strew the interior of the room.",Creative Commons CC-BY-NC-ND (3.0 Unported) in UK; Public Domain in US,John Everett Millais,"A young woman in a blue gown stretching, alone","Northern and Western European, British, Pre-Raphaelite",CE 1851,"Tate Britain, London, UK","London, England",Creative Commons CC-BY-NC-ND (3.0 Unported) in UK; Public Domain in US,"19th Century CE, Pre-Raphaelite",portriat,Painting
000640,Millais: Ophelia,"Rendered in oil paint on canvas, a beautiful young woman floats fully clothed in a beaded white gown in a river.  She is on her back, with her face and hands above the water's surface; her mouth is slightly open, and she gazes up at the sky.  She holds a spray of flowers. More delicate but brilliantly colored flowers are strewn on the water's surface around the woman.  One, a red poppy, focuses the viewer’s gaze on the submerged torso near it. The river banks are rendered in exquisite detail, brilliant green moss and subtler greens of plant leaves punctuated by whites, light blues, and lavenders of the riverside flowers, all of which contrasts with the light complexion of the subject.",Public Domain,John Everett Millais,"A young woman in a gown floats on her back in a river, holding some flowers.","Northern and Western European, British, Pre-Raphaelite",CE 1852,"Tate Britain, London, UK","London and Surrey, England",Public Domain,"19th Century CE, Pre-Raphaelite",Ophelia,Painting
000641,Millais: The North-West Passage,A young woman sits reading at the feet of an old man; he wears a look of concern and sits before a map of the Arctic Ocean.,Public Domain,John Everett Millais,A young woman sits reading to an older man,"Northern and Western European, British, Pre-Raphaelite",CE 1874,"Tate Britain, London, UK","London, England",Public Domain,"19th Century CE, Pre-Raphaelite",genre,Painting
000642,Millet: The Gleaners (Des glaneuses),"This is a large landscape painting in which the focus is on three women dressed in aprons, ground-length skirts, blouses, and headscarves.  They are all bending to pick up bits of wheat left after the harvesters -- horses and machinery in the background, with barn roofs on the right -- have done their work. The blue-gray sky and subdued golden brown tones are punctuated by the blue and red scarves of two of the foreground figures and the white shirts of some of the workers in the background. Millet draws the viewer’s attention to the bright stubs of wheat he paints against dark earth in the foreground, contrasting these leftovers with the bounty of the harvest stacked up in the distance.",Public Domain,Jean-François Millet,Three women dressed in aprons and headscarves bend over to pick up wheat from the ground.,"Northern and Western European, French, Social Realism, Realism",CE 1857,"Musée d’Orsay, Paris, France","Paris, France",Public Domain,"19th Century CE, Social Realism, Realism",genre,Painting
000643,Mimbres Painted Ceramic Bowl,"A bowl with two horned mountain sheep painted across the center of the dish. The animals are identical: seen in profile, with a horn, an eye, and an open mouth. Two bands appear at the necks, and both bodies show a diamond-shaped geometric pattern. The two are positioned as mirror opposites, facing opposite directions.  Their four feet touch in the center.  ",CC 1.0 Universal Public Domain,Unknown,A bowl with two horned mountain sheep painted across the center of the dish. ,"Southwestern United States, Native North American, Mimbres",CE 825-1350,"The Metropolitan Museum of Art, New York, NY, USA","New Mexico, USA",CC 1.0 Universal Public Domain,9-14th Century CE,animals,Ceramics
000644,Minghuang's Journey to Shu ,A landscape painting on silk shows blue and green mountains shrouded with mist in the upper two thirds of the picture plane. In the foreground is a trail upon which are more than a dozen people on horseback and several sitting on the ground. The trail leads to the mountains. ,"Public domain, Creative Commons The Yorck Project",Attributed to Li Chao-Tao 李昭道,A landscape painting on silk shows blue and green mountains shrouded with mist. In the foreground is a trail showing travelers. ,"East Asian, Chinese, Tang Dynasty",CE 907,"Palace Museum, Taipei, Taiwan",China,"Public domain, Creative Commons The Yorck Project","10th Century CE, Tang Dynasty","shan shui, mountains",Painting
000645,Minoan Poppy Goddess,Terracotta female figurine with bare chest and raised arms. Her headdress is decorated with three poppies that stand out from a crown. Her skirt is simple. She wears a plain necklace.,CC 1.0 Universal Public Domain,Unknown,Terracotta female figurine with bare chest and raised arms,"Ancient Greek, Minoan",BCE 1400-1100 ,Heraklion Archaeological Museum,"Crete, Greece",CC 1.0 Universal Public Domain,"2nd Millennium BCE, Minoan",Minoan,Sculpture
000646,Minoan Snake Goddess,"Female figure with bare chest and raised arms, holding snakes in both hands. There is a cat on her headdress. She has sleeves and an elaborate, tiered skirt, all of which are painted. She also wears an apron decorated with geometric shapes. Her skin is glazed white. Her dress, headdress, sleeves, apron, and nipples are glazed gold and yellow ochre.",CC BY-SA 4.0 C messier ,Unknown,"Female figure with bare chest and raised arms, holding snakes in both hands","Ancient Greek, Minoan",BCE 1500 c.,Heraklion Archaeological Museum,"Crete, Greece",CC BY-SA 4.0 C messier ,"2nd Millennium BCE, Minoan",Minoan,Sculpture
000647,Miró: Woman and Bird (Dona i ocell),"A color photograph shows a large phallic concrete and tile tubular sculpture that is boldly decorated with irregular splashes of bright colors: red, blue, yellow, and sea green. Atop the main part of the sculpture sits a cylindrical shape, wider at one end than at the other, and on top of that is a yellow crescent. It is in a lake in a public park in Barcelona.",Public Domain,Joan Miró,A large concrete tube splashed with color rises from a lake.,"Northern and Western European, Spanish, Surrealism, Modernism",CE 1982-1983,"Barcelona, Spain",Spain,Public Domain,"20th Century CE, Surrealism, Modernism",abstraction,Sculpture
000648,Moai,"Large stone heads with angular features, lips pursed in a thin pout, and featureless torsos. ",Public Domain,Unknown,Large stone heads sit on a hillside,"Oceanian, Polynesian",CE 1400,"Easter Island, Polynesia","Easter Island, Polynesia",Public Domain,15th Century CE,Rapa Nui,Sculpture
000649,Moche ceramic portrait vessel,"A ceramic vessel is shaped as a head with two spouts emerging from the top of the domed skull that join in a handle-shape. Two rusty-ochre painted bands encircle the dome: each showing repeated triangle shapes. Below them, four undulating dragons are painted in a band around the head, meeting in the center of the forehead. Geometric shapes are painted on the face. ",CC 1.0 Universal Public Domain,Unknown,A ceramic vessel is shaped as a head with two spouts emerging from the top of the domed skull that join in a handle-shape.,"South American, Mesoamerican, Peruvian, Moche",CE 500-600,"The Metropolitan Museum of Art, Gallery 357",Peru,CC 1.0 Universal Public Domain,6-7th Century CE,portrait,Ceramics
000650,Moche Ear Ornament showing winged runner,An ear ornament shows a winged runner clutching a small cloth bag.,CC 1.0 Universal Public Domain,Unknown,An ear ornament shows a winged runner clutching a small cloth bag.,"South American, Mesoamerican, Peruvian, Moche",CE 400-700,"The Metropolitan Museum of Art, New York, NY, USA","Northern coast, Peru",CC 1.0 Universal Public Domain,5-8th Century CE,owl,Jewelry
000651,"Model of a procession of offering bearers (""The Bersha Procession"") ","This carved wooden model of people walking in single file shows them carrying baskets and other offerings. It was found in the tomb of Djehutynakht. Recognizable items in their hands or on their heads are a wine jug, an incense burner, a basket of bread, two ducks, and beer jars. Personal items, too: cosmetics in a chest and a mirror dangling from a strap on the last figure’s shoulder.","ArtStor Museum of Fine Arts, Boston -- Images for Academic Publishing",Unknown,Wooden model of a man and three women walking in single file carrying baskets and other items like food and cosmetics.,"Ancient Egyptian, Middle Kingdom",BCE 2010-1961,"Museum of Fine Arts, Boston, Gallery 119","Egypt, Deir el-Bersha, Tomb 10,","ArtStor Museum of Fine Arts, Boston -- Images for Academic Publishing","Middle Kingdom, late Dynasty 11 - early Dynasty",funerary object,Sculpture
000652,Modigliani: Jeanne Hébuterne in Yellow Sweater,"Portrait of a seated woman wearing a yellow sweater, her neck and face exaggeratedly elongated.",Public Domain,Amadeo Modigliani,Portrait of a seated woman wearing a yellow sweater,"Northern and Western European, French, Modernism",CE 1918,"Solomon R. Guggenheim Museum, NY, NY, USA","Paris, France",Public Domain,"20th Century CE, Modernism",portriat,Painting
000653,Modigliani: Portrait of Chaim Soutine,"Portrait of a seated young man, the neck and face exaggeratedly elongated",Public Domain,Amadeo Modigliani,Portrait of a seated young man,"Northern and Western European, French, Modernism",CE 1917,"National Gallery of Art, Washington DC, USA","Paris, France",Public Domain,"20th Century CE, Modernism",portriat,Painting
000654,Modigliani: Reclining Nude,"A nude woman reclines on a bed, her face and torso turned toward the viewer, her hips and lower body turned away.  Her facial features are elongated and mask-like.",Public Domain,Amadeo Modigliani,A nude woman reclines of a bed,"Northern and Western European, French, Modernism",CE 1917,"The Metropolitan Museum of Art, New York, NY, USA","Paris, France",Public Domain,"20th Century CE, Modernism",nude,Painting
000655,Mogao Cave -- Cave 305 Central Altar,"Cave 305 at Dunhuang, China. Altar with figures in a cave painted with a thousand Buddhas","ArtStor The John C. and Susan L. Huntington Archive of Buddhist and Related Art, The Ohio State University",Unknown,Altar with figures in a cave painted with repeated seated figures.,"East Asian, Chinese, Chinese Buddhist, Sui Dynasty",CE 581-618,"Dunhuang, Gansu Province, China","Dunhuang, China","ArtStor The John C. and Susan L. Huntington Archive of Buddhist and Related Art, The Ohio State University","6-7th Century CE, Sui Dynasty",Buddhism,Painting
000656,Mogao Cave – Cave 303 corner view,"Cave 303 at Dunhuang, China. Corner view of cave with a thousand paintings of Buddhas and a ceiling painting.","ArtStor The John C. and Susan L. Huntington Archive of Buddhist and Related Art, The Ohio State University",Unknown,Corner view of cave with thousand Buddhas and ceiling painting.,"East Asian, Chinese, Chinese Buddhist, Sui Dynasty",CE 581-618,"Dunhuang, Gansu Province, China","Dunhuang, China","ArtStor The John C. and Susan L. Huntington Archive of Buddhist and Related Art, The Ohio State University","6-7th Century CE, Sui Dynasty",Buddhism,Painting
000657,Mogao Cave Painting -- Cave 420 Thousand Buddhas,"Cave 420 at Dunhuang, China. A niche with a Buddha and bodhisattvas, surrounded by a thousand images of Buddhas.","ArtStor The John C. and Susan L. Huntington Archive of Buddhist and Related Art, The Ohio State University",Unknown,"A niche with a Buddha and bodhisattvas, surrounded by a thousand Buddhas","East Asian, Chinese, Chinese Buddhist, Sui Dynasty",CE 581-618,"Dunhuang, Gansu Province, China","Duhuang, China","ArtStor The John C. and Susan L. Huntington Archive of Buddhist and Related Art, The Ohio State University","6-7th Century CE, Sui Dynasty",Buddhism,Painting
000658,"Mondrian: Composition II in Red, Blue, and Yellow","This canvas is an arrangement of rectangular blocks of red, blue, yellow, and white through which run black vertical and horizontal lines that act as borders. The largest block of color is a red square in the upper right that dominates; it is as if the other rectangles border it on the left side and lower edge of the painting. While the black lines crisscross the canvas, no black appears on the edges.",Public Domain,Piet Mondrian,"Squares of different sizes in red, white, blue, and yellow are outlined in black lines.","Northern and Western European, French, Abstraction, Modernism",CE 1930,"Kunsthaus Zürich, Switzerland","Paris, France",Public Domain,"20th Century CE, Abstraction, Modernism",abstraction,Painting
000659,"Mondrian: Evening, Red Tree","A large tree dominates this oil-on-canvas painting; its trunk bends to the left, and its branches, some with a few leaves but most without any, arch over most of the picture space. The tree is primarily red in color, with lines of blue and black, and with some small red leaves on the right and larger orange-gold leaves on the left side of the canvas. The background is blue, the color more concentrated near the center of the tree. A circle suggestive of a moon appears, almost enfolded by the branches on the top right. The foreground is articulated by small horizontal pink brush strokes behind which is a line of orange diagonal strokes.",Public Domain,Piet Mondrian,A red leafless tree stands against a blue background.,"Northern and Western European, French, Abstraction, Modernism",CE 1908-1910,"Gemeentemuseum den Haag, Hague, Netherlands","Domburg, Zeeland, Netherlands (?)",Public Domain,"20th Century CE, Abstraction, Modernism",tree,Painting
000660,Mondrian: View from the Dunes with Beach and Piers,"This painting was made with oil and pencil on cardboard.  It is composed primarily of bright lines of color, mostly blues and oranges and greens. The dunes in the title appear on the left, while the lighter sea is on the right; they are separated by a diagonal line that cuts across the painting, its lower section on the right. Above the dunes and the sea, the sky is rendered in bold horizontal lines of the same colors.",Public Domain,Piet Mondrian,Blue and yellowish-beige horizontal lines on a piece of cardboard.,"Northern and Western European, French, Abstraction, Modernism",CE 1909,"MoMA (Museum of Modern Art), New York City","Domburg, Netherlands",Public Domain,"20th Century CE, Abstraction, Modernism",landscape,Painting
000661,"Monet: Impression, Sunrise","This oil on canvas painting depicts a port with boats moored in the water.  The two boats in the foreground are the darkest details in the work, and just to the right of them we see the orange of the sunlight on the water. In the background there are vague outlines of other boats and their reflections on the water. The bright orange of the sun that appears relatively low in the sky is echoed in the upper left of the canvas. The muted blues, greens, and grays that fill most of the painting make distinguishing sea from sky difficult; indeed, it is the shadowy boats rather than the use of color that indicates the horizon. The most visible brush strokes are in the foreground, as is Monet’s signature and the date.",Public Domain,Claude Monet,Sunrise over the ocean with two boats moored in the middle.,"Northern and Western European, French, Impressionism",CE 1872,"Musée Marmottan Monet, Paris, France","Le Havre, France",Public Domain,"19th Century CE, Impressionism",sea,Painting
000662,Monolith with Bird and Crocodile,"A stylized bird with a column-shaped neck and head perches with folded wings on a carved pedestal. Below, a crocodile hugs the pedestal, facing upwards toward the bird. ",ArtStor NYU Department of Art History Digital Collections,Unknown,"A bird with a column-shaped neck and head perches with folded wings on a carved pedestal. Below, a crocodile hugs the pedestal, facing upwards toward the bird.","South African, Zimbabwean",CE 1400-1500,"Great Zimbabwe Site Museum, Zimbabwe","Great Zimbabwe, Zimbabwe",ArtStor NYU Department of Art History Digital Collections,15-16th Century CE,bird,Sculpture
000663,Monticello,A large house sits on a green lawn.  Steps lead up to a covered portico with four columns upholding a triangular pediment. A dome rises above it. Flanking the entrance portico are brick-faced wings with windows topped by two tiers of balustrades.,CC BY-SA 3.0 Martin Falbisoner,Thomas Jefferson,A large brick house with a four columns across a covered porch sits on a green lawn.,"American, Neoclassicism, Palladian",CE 1772,"Charlottesville, VA","Charlottesville, VA, United States",CC BY-SA 3.0 Martin Falbisoner,"18th Century CE, Neoclassicism, Palladian",Neoclassicism,Architecture
000664,Moore: Large Two Forms,"Bronze casting of two large, irregular solid forms that are organic in shape, but not identifiable as representations of any particular object(s).","Creative Commons Attribution-Share Alike 4.0 International; author, Maksim Sokolov (maxergon.com)",Henry Moore,Bronze casting of two large solid forms,"North American, Canadian, Modernism, Abstraction",CE 1969,"Grange Park, Art Gallery of Ontario, Toronto, Ontario, Canada","Grange Park, Toronto, Ontario, Canada","Creative Commons Attribution-Share Alike 4.0 International; author, Maksim Sokolov (maxergon.com)","20th Century CE, Modernism, Abstraction",abstraction,Sculpture
000665,Moore: Reclining Figure,Bronze casting of an abstract and disproportionate figure of a reclining woman.,"Creative Commons Attribution-Share Alike 4.0 International; author, Whiteghost.ink",Henry Moore,Bronze casting of an abstract reclining woman,"North American, Canadian, Modernism, Abstraction",CE 1979,"Art Gallery of New South Wales, Sydney, New South Wales, Australia","Sydney, New South Wales, Australia","Creative Commons Attribution-Share Alike 4.0 International; author, Whiteghost.ink","20th Century CE, Modernism, Abstraction",abstraction,Sculpture
000666,Morimura: Portrait (Futago),"A color photograph shows a nude figure reclining on a bed. The figure is male and  wears a woman's blonde wig, earrings, black bow choker necklace, and bracelet. On his feet are pink slipper heels. He looks directly at the camera, left hand covering genitals and right hand holding the bedding. At the foot of the bed sits a black Japanese Lucky Cat with its paw raised. The background is lush drapery. Behind the bed stands a dark-skinned female figure in a luxurious pink dress, holding a bouquet of flowers.",ArtStor: San Francisco Museum of Modern Art (SFMOMA),Yasumasa Morimura,"A nude male reclines in a bed, with a cat at the foot and a servant offering a bouquet of flowers.","East Asian, Japanese, Postmodernism",CE 1988,San Francisco Museum of Modern Art (SFMOMA),Japan,ArtStor: San Francisco Museum of Modern Art (SFMOMA),"20th Century CE, Postmodernism",nude,Photography
000667,Morisot: Grain Field,"The oil paint on this canvas depicts a bright yellow field of grain, probably wheat.  A section of the crop in the foreground has already been cut. A man wearing a straw hat, a blue jacket and black pants stands holding a bag over his shoulder on the right side of the painting. Behind the field is a town comprised of greyish buildings; still further in the distance, green trees stand tall against the hazy bluish-white sky.",Public Domain,Berthe Morisot,A field of grain is partly cut.  A man holding a sack stands in it.  Buildings are in the background.,"Northern and Western European, French, Impressionism",CE 1875,"Musée d’Orsay, Paris, France","Paris, France",Public Domain,"19th Century CE, Abstraction, Modernism",genre,Painting
000668,Morisot: Hanging the Laundry Out to Dry,"In the foreground we see a large field beside a farmhouse on the right; in the background is a town set against trees and rolling hills. A cloudy blue sky covers the top quarter of the canvas. Closest to the viewer is a railing along which are draped articles of clothing left to dry in the sun. Behind that horizontal line are parallel diagonals articulated by clotheslines from which other pieces of laundry are suspended. The colors are pale blues, greens, and beiges, against which the white laundry stands out, despite the fact that all forms are rendered in oil paint using light brushstrokes that offer just the hint of form.",Public Domain,Berthe Morisot,"A landscape shows fields, a village, and women hanging laundry items on clotheslines.","Northern and Western European, French, Impressionism",CE 1875,"National Gallery of Art, Washington, DC, USA","Paris, France",Public Domain,"19th Century CE, Abstraction, Modernism",genre,Painting
000669,Morisot: The Mother and Sister of the Artist,"In an oil-on-canvas portrait, a young woman dressed in white with a blue ribbon in her hair sits on an upholstered sofa with a multi-colored floral motif. She gazes at a green book held by an older woman in a black dress with white lace at the neck and the sleeves, sitting in an armchair next to her.  To the left of the canvas is a round table on which sits a glass vase with lavender flowers, and hanging on the wall behind the sofa is the lower portion of a gilt-framed painting or a mirror.",Public Domain,Berthe Morisot,"Two women, a young one dressed in white, and an old one dressed in black sit near a table.  The elder reads a book.","Northern and Western European, French, Impressionism",CE 1869-1870,"National Gallery of Art, Washington, DC, USA","Paris, France",Public Domain,"19th Century CE, Abstraction, Modernism",portriat,Painting
000670,Moronobu: Interior Scene in the Yoshiwara,"Courtesans entertain customers inside a house: several people play instruments, including two shamisens and a drum, while others eat, drink, dance, and chat. Various dishes lie in the center of the room. A small tree stands in the lower right corner. ",CC 1.0 Universal Public Domain,Hishikawa Moronobu,"A party inside a house showing a band with instruments. Others eat, drink, dance, and chat. A small tree stands in the lower right corner.","East Asian, Japanese, Edo Period",CE 1680 ,"The Metropolitan Museum of Art, New York, NY, USA",Japan,CC 1.0 Universal Public Domain,"17th Century CE, Edo Period",courtesans,Prints
000671,Moronobu: Scene in the Yoshiwara,"Men and women walk through the street in front of a tea house. Three courtesans and a man at tea are visible through the window. On the right, a woman opens a curtain and speaks with a man on the street.",CC 1.0 Universal Public Domain,Hishikawa Moronobu,"People walk in front of a tea house. Three women a man are visible through a window. On the right, a woman opens a curtain and speaks with a man on the street.","East Asian, Japanese, Edo Period",CE 1680 ,"The Metropolitan Museum of Art, New York, NY, USA",Japan,CC 1.0 Universal Public Domain,"17th Century CE, Edo Period","teahouse, courtesans",Prints
